,Type,Manufacturer,Origin,Propulsion,Role,Control,Introduced,Inventory,Notes
31,F-16C/D Fighting Falcon,General Dynamics,USA,Jet,Multirole,Manned,1981 (Block 25-32); 1989 (Block 40/42); 1994 (Block 50/52)[47],762[2],The Air Force is seeking to divest 11 older F-16C/Ds in FY2025.[48]
32,F-22A Raptor,Lockheed Martin,USA,Jet,Air superiority,Manned,2005[49],183[2],Stealth capable aircraft. To be replaced by NGAD. The Air Force is seeking to divest 32 Block 20 F-22s in FY2025.[50]
33,F-35A Lightning II,Lockheed Martin,USA,Jet,Multirole,Manned,2016[49],302[2],"7 on order[25] 1,763 planned.[51]"
34,HC-130J Combat King II,Lockheed Martin,USA,Propeller,Search and rescue,Manned,2013[52],39[2],
35,HH-60G/U Pave Hawk,Sikorsky,USA,Helicopter,CSAR,Manned,1982[53],64[2],To be replaced by the HH-60W Jolly Green II.The Air Force is seeking to divest 12 HH-60G in FY2025.[54]
36,HH-60W Jolly Green II,Sikorsky,USA,Helicopter,CSAR,Manned,2022[53],32[2],To replace the HH-60G/U Pave Hawk. 85 planned.[55]
37,KC-135R/T Stratotanker,Boeing,USA,Jet,Aerial refueling,Manned,1957[14],376[2],The Air Force is seeking to divest 16 KC-135R/T in FY2025.[56]
38,KC-46A Pegasus,Boeing,USA,Jet,Aerial refueling,Manned,FY24 (planned)[57],77[58],179 planned.[34]
39,LC-130H Hercules,Lockheed Martin,USA,Propeller,Cargo aircraft,Manned,c. 1984[59],10[60],Assigned to 109th Airlift Wing[citation needed]
40,MC-12W Liberty,Beechcraft,USA,Propeller,Multi-mission/Special Operations,Manned,2009[24],36[18],USSOCOM and Air National Guard. To be replaced in USSOCOM by OA-1K Sky Warden[24]
41,MC-130J Commando II,Lockheed Martin,USA,Propeller,Multi-mission/Special Operations,Manned,2012[61],57[2],64 planned.[62]
42,MH-139A Grey Wolf,AgustaWestland,,Helicopter,Utility,Manned,2023 (planned)[63],7[citation needed],6 test aircraft and 1 production aircraft have been delivered. 20 on order. 42 planned.[64]
43,MQ-1B Predator,General Atomics,USA,Propeller,Multi-mission,Unmanned[citation needed],,1[2],
44,MQ-9A Reaper,General Atomics,USA,Propeller,Multi-mission[65],Unmanned,"2007, 2015 (ER)[66]",102[2],
45,BQM-167 Skeeter,Composite Engineering,,Jet,Target drone,Unmanned,2008[66],37[66],Subscale aerial target. 800+ planned.[67]
46,P-9A Pale Ale,Bombardier,Canada,Propeller,Maritime patrol,Manned,,4[2],Government-owned contractor-operated fleet tasked with monitoring drug trafficking.[36]
47,QF-16A/C,Boeing,USA,Jet,Target drone[68],Optionally piloted[68],2016[68],73[2],Conversion of an F-16 Fighting Falcon to full-scale aerial target. Final deliveries will take place 2024–2025.[68] 126 planned.[69]
48,RC-135S/U/V/W Cobra Ball/Combat Sent/Rivet Joint,Boeing,USA,Jet,Reconnaissance / ELINT / surveillance,Manned,1972,25[2],
49,RQ-170 Sentinel,Lockheed Martin,USA,Jet,Multi-Mission,Unmanned,2007[citation needed],,
50,RQ-20 Puma,AeroVironment,USA,Propeller,Patrol,Unmanned,2008[citation needed],,
51,RQ-4B Global Hawk,Northrop Grumman,USA,Jet,ISTAR,Unmanned,"2011 (Block 30), 2016 (Block 40)[66]",9[70],
52,Unmanned Long-endurance Tactical Reconnaissance Aircraft,DZYNE Technologies,USA,Propeller,Surveillance,Unmanned[citation needed],c. 2024,,
53,T-1A Jayhawk,Raytheon,USA,Jet,Trainer,Manned,1993[63],127[2],Multi-engine trainer. The Air Force is seeking to divest 22 T-1s in FY2025.[71]
54,T-38A/C/AT-38B Talon,Northrop,USA,Jet,Trainer,Manned,1961[72],495[2],To be replaced by the T-7A. The Air Force is seeking to divest 17 T-38A/Cs in FY2026.[73]
55,T-41D Mescalero,Cessna,USA,Propeller,Basic trainer,Manned,1964,4[2],
56,T-51A Cessna,Cessna,USA,Propeller,Basic trainer,Manned,1957,3[2],
57,T-53A Kadet II,Cirrus,USA,Propeller,Basic trainer,Manned,1995,24[2],USAFA flight training aircraft
58,T-6A Texan II,Raytheon/Beechcraft,USA,Propeller,Trainer,Manned,2000[74],442[2],
59,T-7 Red Hawk,Boeing / Saab,USA,Jet,Trainer,Manned,2028 (planned)[74],2[75],Replacement for the T-38 Talon. The first five test aircraft will be production representative. 351 planned.[76]
60,TC-135S/W,Boeing,USA,Jet,Trainer,Manned,1961,3[2],
61,TG-15A,,,Glider,Trainer,Manned,,2[2],
62,TG-15B,,,Glider,Trainer,Manned,,3[2],
63,TG-16A,,,Glider,Trainer,Manned,,19[2],
64,TG-17A,,,Glider,Trainer,Manned,,1[2],MDM MDM-1 Fox donated to the 94th Flying Training Squadron.[77]
65,TH-1H Iroquois,Bell,USA,Helicopter,Trainer,Manned,c. 2009[63],28[2],Light lift training helicopter[63] To be replaced by the MH-139A.[78]
66,TU-2S Dragon Lady,Lockheed,USA,Jet,Conversion trainer,Manned,,4[2],The Air Force is seeking to divest all U-2s and TU-2s in FY2026.[79]
67,U-2S Dragon Lady,Lockheed,USA,Jet,Reconnaissance,Manned,c. 1981 (U-2R)[80],27[79],The Air Force plans to divest all U-2s and TU-2s in FY2026.[79]
68,U-28A Draco/PC-12,Pilatus,Switzerland,Propeller,Utility,Manned,1991,30 U-28A/5 PC-12[27],PC-12 used for training. Used by SOCOM for reconnaissance. To be replaced in SOCOM by the OA-1K Sky Warden.[81]
69,UH-1N Twin Huey/UH-1N Operational Support Airlift,Bell,USA,Helicopter,Utility,Manned,1970[63],63[2],Light lift helicopter. To be replaced by the MH-139 Grey Wolf.[63] The Air Force is seeking to divest 5 UH-1N and UH-1N OSA in FY2026.[82]
70,UV-18B Twin Otter,De Havilland Canada,Canada,Propeller,Utility,Manned,1988,3[2],USAFA parachute training aircraft
71,VC-25A Air Force One,Boeing,USA,Jet,VIP transport,Manned,1990[59],2[2],"Presidential Transport, operated by 89th Airlift Wing[83] To be replaced by the VC-25B. The Air Force is seeking to divest the VC-25A in FY2028.[84]"
72,WC-130J Hercules,Lockheed Martin,USA,Propeller,Weather reconnaissance,Manned,2006[80],10[2],Assigned to 403d Wing
73,WC-135R Constant Phoenix,Boeing,USA,Jet,Atmospheric research,Manned,2022 (WC-135R)[52],3[2],
74,X-62 VISTA,General Dynamics,USA,Jet,In-flight simulator[72],Optionally piloted[85],1992[72],1[72],A highly modified version of the F-16D incorporating artificial intelligence used by the U.S. Air Force Test Pilot School[72]
75,CL-650 (ARTEMIS),Bombardier,Canada,Jet,"Intelligence, Surveillance and Reconnaissance",Manned,2020[citation needed],2[86],"Modified CL-650; N488CR c/n 6140, N159L c/n 6159[citation needed]"
76,C-12J,Beechcraft,USA,Propeller,Transport,Manned,1984[citation needed],3[87][25],
77,C-12D/R/U/V Huron,Beechcraft,USA,Propeller,Cargo/Transport,Manned,1972,95[25],
78,C-20H,Gulfstream,USA,Jet,VIP Transport,Manned,1985,1[citation needed],
79,C-26E Metroliner,Fairchild,USA,Propeller,Cargo/Transport,Manned,1980s,13[25],
80,C-27J Spartan,Alenia Aeronautica,USA Italy,Propeller,Cargo aircraft,Manned,2006[citation needed],7[25],Former Air Force aircraft used by Army Special Operations Command for training.[citation needed]
81,C-41 Aviocar,CASA,Spain,Propeller,Cargo/Transport,Manned,1974[citation needed],5[25],
82,EO-5,de Havilland Canada,Canada,Propeller,"Electronic Warfare, Reconnaissance",Manned,1975[citation needed],10[citation needed],"3 x EO-5C,[25] 7 x RC-7. Previously designated as RC-7B"
83,MC/RC-12,Beechcraft,USA,Propeller,Reconnaissance,Manned,1974[citation needed],95[25],"RC-12D, RC-12H and RC-12K[citation needed]"
84,UC-35,Cessna,USA,Jet,Utility aircraft,Manned,1987[citation needed],27[citation needed],"20 x UC-35A, 7 x UC-35B[citation needed]"
85,C-37,Gulfstream,USA,Jet,VIP Transport,Manned,1997[citation needed],3[citation needed],"1 x C-37B (G550)(04-1778), 2 x C-37A (G500)(02-1863, 05–1944)[citation needed]"
86,RO-6A,de Havilland Canada,Canada,Propeller,Patrol,Manned,1983[citation needed],9[25],"Intelligence, Surveillance and Reconnaissance[citation needed]"
87,UV-18C,de Havilland Canada,Canada,Propeller,Cargo/Transport,Manned,1965[citation needed],3[citation needed],Used for the Golden Knights Gold Team[citation needed]
88,AH/MH-6M Little Bird,MD Helicopter,USA,Helicopter,Attack,Manned,1980[citation needed],47[25],
89,"AH-64D/E Apache Longbow, Guardian",Boeing,USA,Helicopter,Attack,Manned,1986[citation needed],824[25],15 on order.[25]
90,CH-47D/F Chinook,Boeing,USA,Helicopter,Transport,Manned,1962[citation needed],510 (figure includes MH-47G)[25],30 on order (figure includes MH47G)[25]
91,EH-60A Black Hawk,Sikorsky,USA,Helicopter,Electronic-warfare,Manned[citation needed],1979[citation needed],64[citation needed],
92,MH-47 Chinook,Boeing,USA,Helicopter,Multi-mission,Manned,1962[citation needed],61[citation needed],"11 x MH-47D, 23 x MH-47E, 27 x MH-47G[citation needed]"
93,MH-60 Black Hawk,Sikorsky,USA,Helicopter,Multi-mission,Manned,1979[citation needed],58[citation needed],"23 x MH-60K, 35 x MH-60L[citation needed]"
94,Mil Mi-8/Mi-17,Mil Moscow Helicopter Plant,Russia,Helicopter,,Manned[citation needed],,10[citation needed],
95,Mil Mi-24,Mil Moscow Helicopter Plant,Russia,Helicopter,,Manned[citation needed],,1[citation needed],
96,T-6D Texan II,,USA,Propeller,Trainer,Manned,2015[88],4[18],
97,UH-60 Black Hawk,Sikorsky,USA,Helicopter,Utility,Manned,1979[citation needed],"1,443[citation needed]","751 x UH-60A, 592 x UH-60L, 100 x UH-60M. 1227 UH-60M planned.[89][dead link‍] UH-60A and UH-60L models being upgraded and converted UH-60V. To be replaced by Future Long-Range Assault Aircraft.[citation needed]"
98,UH-72A/B Lakota,Eurocopter,USA Germany,Helicopter,Utility,Manned,2007[citation needed],478[25],30 on order.[25]
99,MQ-1C Gray Eagle,General Atomics,USA,Propeller,,Unmanned,2009[citation needed],75[90],133 planned[91]
100,Prioria Robotics Maveric,Prioria Robotics,USA,Propeller,,Unmanned,2008[citation needed],36[citation needed],
101,CQ-10 Snowgoose,MMIST,Canada,Propeller,Transport,Unmanned,2005,15 [citation needed],49 planned. Parafoil and autogyro variants.[citation needed]
102,RQ-11 Raven,AeroVironment,USA,Propeller,,Unmanned,2003[citation needed],,
104,Black Hornet Nano,Teledyne FLIR,USA,Propeller,Surveillance,Unmanned[citation needed],,,Unmanned pocket-sized drone[92]
105,HC-27J Spartan,Alenia Aeronautica,USA Italy,Propeller,Search and rescue,Manned,2006[citation needed],14[citation needed],"Former Air Force aircraft, acquired in return for the release of seven HC-130H aircraft to the United States Forest Service for use as aerial tankers.[citation needed]"
106,C-37A,Gulfstream,USA,Jet,VIP transport,Manned,1997[citation needed],1[citation needed],VIP transport for high-ranking members of the Department of Homeland Security and U.S. Coast Guard.[citation needed]
107,C-37B,Gulfstream,USA,Jet,VIP transport,Manned,1997[citation needed],1[citation needed],VIP transport for high-ranking members of the Department of Homeland Security and U.S. Coast Guard.[citation needed]
108,HC-130H Hercules,Lockheed Martin,USA,Propeller,Search and rescue,Manned,1959[citation needed],14[citation needed],Most have been removed from service and are being replaced by HC-130J aircraft. Seven were turned over to the United States Forest Service to be converted to aerial firefighting tankers.[citation needed]
109,HC-130J Hercules,Lockheed Martin,USA,Propeller,Search and rescue,Manned,1959[citation needed],12[citation needed],"More on order, currently[when?] being manufactured to replace HC-130H.[citation needed]"
110,HC-144A Ocean Sentry,Airbus,USA Spain,Propeller,Search and rescue,Manned,2009[citation needed],15[citation needed],
111,HC-144B Minotaur,Airbus,USA Spain,Propeller,Search and rescue,Manned,2009[citation needed],3,Minotaur upgrade of HC-144A aircraft includes advanced navigation and search and rescue equipment.[citation needed]
112,MH-60T Jayhawk,Sikorsky,USA,Helicopter,Medium Range Recovery (MRR),Manned,1990[citation needed],42[citation needed],Will remain in service until 2040s[citation needed]
113,MH-65D Dolphin,Eurocopter,USA France,Helicopter,Short Range Recovery (SRR),Manned,1985[citation needed],95[citation needed],
114,MH-65E Dolphin,Eurocopter,USA France,Helicopter,Short Range Recovery (SRR),Manned,1985[citation needed],3[citation needed],Upgraded version of MH-65D with advanced avionics and search and rescue equipment[citation needed]
115,C-20G,Gulfstream,USA,Jet,Cargo/Transport aircraft,Manned,1985[citation needed],1[18],Will be upgraded to C-20 ER[citation needed]
116,C-40A Clipper,Boeing,USA,Jet,Cargo/Transport aircraft,Manned[citation needed],2023[94],2,
117,F/A-18A/B/C/D Hornet,McDonnell Douglas,USA,Jet,Carrier-based Fighter,Manned,1985[citation needed],186[25],Scheduled to be replaced by F-35B/C Lightning II[citation needed]
118,F-35B/C Lightning II,Lockheed Martin,USA,Jet,Carrier-based Fighter,Manned,2015[citation needed],145[25],F-35C carrier variant and F-35B V/STOL variants. Planned total of 280 F-35Bs and 140 F-35Cs (CTOL) to replace various aircraft.[96]
119,F-5F/N Tiger II,Northrop,USA,Jet,Aggressor,Manned,1959[citation needed],,Scheduled to maintain service till 2026.
120,KC-130J Super Hercules,Lockheed Martin,USA,Propeller,Aerial refueling,Manned,1962[citation needed],69[18],
121,UC-12W Huron,Beechcraft,USA,Propeller,Utility,Manned,1974[citation needed],8[citation needed],Planned to replace the UC-12F/M Huron and UC-35D[97]
122,UC-12M Huron,Beechcraft,USA,Propeller,Utility,Manned,1974[citation needed],2[citation needed],Planned to be replaced by UC-12W Huron by 2026[97]
123,UC-12F Huron,Beechcraft,USA,Propeller,Utility,Manned,1974[citation needed],4[citation needed],Planned to be replaced by UC-12W Huron by 2032[97]
124,UC-35D Citation,Cessna,USA,Jet,Utility,Manned[citation needed],2001[98],10[citation needed],Planned to be replaced by UC-12W Huron by 2030[97]
125,AH-1Z Viper,Bell,USA,Helicopter,Attack,Manned,2010[citation needed],176[18],The Marine Corps plans to divest 10 AH-1Z in FY2025.[99]
126,CH-53E Super Stallion,Sikorsky,USA,Helicopter,Cargo/Transport,Manned,1981[citation needed],135[18],To be replaced by CH-53K King Stallion[100]
127,CH-53K King Stallion,Sikorsky,USA,Helicopter,Cargo/Transport,Manned,2022[citation needed],11[18],191 planned in total[citation needed]
128,UH-1Y Venom,Bell,USA,Helicopter,Utility,Manned,2008[citation needed],127[18],
129,VH-3D Sea King,Sikorsky,USA,Helicopter,Marine One VIP Transport,Manned,1961[citation needed],,To be replaced by Sikorsky VH-92A. 2 to be divested in FY2025.[101]
130,VH-60N Whitehawk,Sikorsky,USA,Helicopter,Marine One VIP Transport,Manned,1979[citation needed],,To be replaced by Sikorsky VH-92A
131,VH-92 Patriot,Sikorsky Aircraft,USA,Helicopter,Marine One VIP Transport[102],Manned,2024[citation needed],,
132,AV-8B/+ Harrier II,McDonnell Douglas,US / UK,Jet,Attack/Trainer,Manned,1985[citation needed],"87, 12 TAV-8B[25]",VTOL. To be replaced by F-35B[103][dead link‍] The Marine Corps plans to divest 4 AV-8Bs in FY2025.[99]
133,MV-22B Osprey,Bell Boeing,USA,Tiltrotor,Multi-mission,Manned,2007[citation needed],288[18],VTOL. 13 on order.[18]
134,K-MAX,Kaman,USA,Helicopter,Cargo and transport,Unmanned,1991[citation needed],,Helicopter with twin intermeshing rotors. UAV variant of manned type.[citation needed]
135,MQ-27,Boeing,USA,Propeller,Reconnaissance,Unmanned,2005[citation needed],,
136,RQ-20 Puma,AeroVironment,USA,Propeller,Reconnaissance,Unmanned,2008[citation needed],,
137,RQ-21A Blackjack,Boeing Insitu,USA,Propeller,Reconnaissance,Unmanned,2014[citation needed],,
138,MQ-8B Fire Scout,Northrop Grumman,USA,Helicopter,Multi-Mission,Unmanned,2009 [citation needed],,
139,Black Hornet Nano,Teledyne FLIR,Norway,Helicopter,,Unmanned,2015 [citation needed],,
140,MQ-9 Reaper,General Atomics,USA,Propeller,Reconnaissance,Unmanned,2023[citation needed],8[citation needed],Scheduled to be delivered in 2023.[105]
141,R80D SkyRaider,Teledyne FLIR,USA,Propeller,Reconnaissance,Unmanned[citation needed],,,Quadcopter. Part replaces the RQ-7B Shadow.[106]
142,X2D,Skydio,USA,Propeller,Reconnaissance,Unmanned[citation needed],,,Quadcopter. Part replaces the RQ-7B Shadow.[106]
143,T-34C Turbo Mentor,,USA,Propeller,Trainer,Manned[citation needed],,,
144,C-130T Hercules,Lockheed,USA,Propeller,Cargo/Transport aircraft,Manned,1956[citation needed],,
145,C-130J Hercules,Lockheed Martin,USA,Propeller,Cargo/Transport aircraft,Manned[citation needed],,,
146,UC-12 Huron,Beechcraft,USA,Propeller,Cargo/Transport aircraft,Manned,1974[citation needed],,
147,C-2A Greyhound,Grumman,USA,Propeller,Carrier-based Cargo/Transport aircraft,Manned,1966[citation needed],,To be replaced by 44 CMV-22[107]
148,C-20,Gulfstream,USA,Jet,Cargo/Transport aircraft,Manned,1985[citation needed],,C-20G
149,C-26D Metroliner,Fairchild,USA,Propeller,Cargo/Transport aircraft,Manned,1980s[citation needed],,
150,C-37,Gulfstream,USA,Jet,Cargo/Transport aircraft,Manned,1997[citation needed],,1 x C-37A[citation needed]
151,C-40A Clipper,Boeing,USA,Jet,Cargo/Transport aircraft,Manned,2001[citation needed],,
152,E-2C/D Hawkeye,Northrop Grumman,USA,Propeller,Carrier-based Airborne Command and Control aircraft,Manned,1963[citation needed],15 on order[25],
153,E-6B Mercury,Boeing,USA,Jet,TACAMO,Manned,1989[citation needed],,
154,EA-18G Growler,Boeing,USA,Jet,Carrier-based Electronic-warfare aircraft,Manned,2009[citation needed],,
155,EP-3E ARIES II,Lockheed,USA,Propeller,Electronic-warfare aircraft,Manned,1950s[citation needed],,EP-3E signals reconnaissance aircraft are being replaced by the MQ-4 Triton. EP-3 divestment will be complete by FY2025.[100]
156,F-5F/N Tiger II,Northrop,USA,Jet,Aggressor,Manned,1962[citation needed],,"F-5F, F-5N. Used for adversary training[108]"
157,F-16 Fighting Falcon,General Dynamics,USA,Jet,Aggressor,Manned,1978[citation needed],,Used for adversary training.[109]
158,F/A-18A/B/C/D Hornet,McDonnell Douglas,USA,Jet,Carrier-based Fighter,Manned[citation needed],,,For training.[25]
159,F/A-18E/F Super Hornet,McDonnell Douglas / Northrop Grumman / Boeing,USA,Jet,Carrier-based Fighter,Manned,1999[citation needed],,76 on order[25] The Navy plans to divest 5 F/A-18F variants in FY2025.[99]
160,F-35C Lightning II,Lockheed Martin,USA,Jet,Carrier-based Fighter aircraft,Manned,2015[citation needed],,260 planned[110]
161,KC-130T,Lockheed Martin,USA,Propeller,Aerial Refueling,Manned,1962[citation needed],,
162,MQ-4C Triton,Northrop Grumman,USA,Jet,Unmanned aerial vehicle,Unmanned,2018[citation needed],,68 Planned[citation needed]
163,P-8A Poseidon,Boeing,USA,Jet,Anti-Submarine-warfare aircraft,Manned,2013[citation needed],,10 on order[25]
164,T-6 Texan II,Beechcraft,USA,Propeller,Trainer aircraft,Manned,2001[citation needed],,29 on order.[25]
165,T-44C Pegasus,Beechcraft,USA,Propeller,Trainer aircraft,Manned,1964[citation needed],,T-44s are being replaced by the T-54A. The Navy plans to divest 10 T-44s in FY2025.[101]
166,T-45C Goshawk,McDonnell Douglas,UK/USA,Jet,Carrier-based Trainer aircraft,Manned,1991[citation needed],,
167,T-54A,Beechcraft,USA,Propeller,Trainer,Manned,2024[citation needed],,"Used to train aviators flying the P-8, C-130, E-6, E-2, CMV-22, and MV-22. First delivered in 2024. Up to 64 planned.[112]"
168,UC-35D,Cessna,USA,Jet,Utility aircraft,Manned,1972[citation needed],,
169,CV/MV-22 Osprey,Bell Boeing,USA,Tiltrotor,Multi-mission,Manned,2007[citation needed],,34 on order.[25]
170,MH-53E Sea Dragon,Sikorsky,USA,Helicopter,Airborne mine countermeasures and vertical on-board delivery,Manned,1981[citation needed],,"Operational employment is planned to end in FY2024, with final squadron retirement by the end of FY 2025.[100]"
171,MH-60 Seahawk,Sikorsky,USA,Helicopter,Anti-submarine warfare helicopterMulti-mission,Manned,1984[citation needed],,
172,TH-57B/C Sea Ranger,Bell,USA,Helicopter,Trainer,Manned,1984[citation needed],,To be replaced by the AgustaWestland TH-73A Thrasher[citation needed]
173,TH-73A Thrasher,Leonardo Helicopter,USA,Helicopter,Trainer,Manned[citation needed],,,71 on order[25]
174,ScanEagle,Boeing,USA,Propeller,,Unmanned,2005[citation needed],,
175,RQ-21A Blackjack,Boeing Insitu,USA,Propeller,,Unmanned,2014[citation needed],,
176,MQ-8C Fire Scout,Northrop Grumman,USA,Helicopter,Patrol,Unmanned,2009[citation needed],,"As of May 2024, the Navy will end operational employment of the MQ-8C at the end of FY2024. Sundown will follow at the end of FY2026.[114]"
177,X-37B,Boeing,USA,Rocket,Spaceplane,Unmanned,2010 (first space flight),Seven launches since program began.[116],
